year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct,final_credits,credits_stated_corrected,final_credit_status,final_fee_zar,final_fee_status,resolution_class,resolution_ref,confidence,resolution_rationale
2021,COM,CB001ACC03,BCom,Financial Accounting: Accounting with Law,regular,1,149,0,149,False,0,68490,0,0,68490,BCom specialising in Financial Accounting: Accounting with Law Stream,label_match,0.0,149,,consistent,68490,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ACC03,BCom,Financial Accounting: Accounting with Law,regular,2,162,0,162,False,0,74090,0,0,74090,BCom specialising in Financial Accounting: Accounting with Law Stream,label_match,0.0,162,,consistent,74090,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ACC03,BCom,Financial Accounting: Accounting with Law,regular,3,144,0,144,False,0,65720,0,0,65720,BCom specialising in Financial Accounting: Accounting with Law Stream,label_match,0.0,144,,consistent,65720,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ACC04,BCom,Financial Accounting: Chartered Accountant,regular,1,149,0,149,False,0,68490,0,0,68490,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,label_match,0.0,149,,consistent,68490,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ACC04,BCom,Financial Accounting: Chartered Accountant,regular,2,180,0,162,False,18,84930,0,0,84930,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,label_match,0.0,180,,unresolved,84930,reconciled,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB001ACC04,BCom,Financial Accounting: Chartered Accountant,regular,3,144,0,144,False,0,67140,0,0,67140,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,label_match,0.0,144,,consistent,67140,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ACC08,,,regular,1,149,0,149,False,0,68490,0,0,,,unmatched,,149,,consistent,68490,no_published,none,,high,computed credits equal the stated total
2021,COM,CB001ACC08,,,regular,2,162,0,162,False,0,76560,0,0,,,unmatched,,162,,consistent,76560,no_published,none,,high,computed credits equal the stated total
2021,COM,CB001ACC08,,,regular,3,144,0,144,False,0,66910,0,0,,,unmatched,,144,,consistent,66910,no_published,none,,high,computed credits equal the stated total
2021,COM,CB001BUS06,BCom,Management Studies,regular,1,185,0,185,False,0,84890,0,0,84640,BCom in the field of Management Studies,label_match,0.3,185,,consistent,84890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001BUS06,BCom,Management Studies,regular,2,168,0,168,False,0,79630,17200,0,79630,BCom in the field of Management Studies,label_match,0.0,168,,consistent,79630,reconciled,none,,high,computed credits equal the stated total
