year,faculty,plan_code,study_year,table_index,seq,course_code_raw,course_code,course_title,nqf_credits,nqf_level,requirement,choice_group,choice_member,choice_pick_n,choice_note,is_minimum,source_page
2025,COM,CU020BUS01,1,0,1,STA3041F,STA3041F,Stochastic Processes & Time Series,36,7,core,,,,,False,20
2025,COM,CU020BUS01,1,0,2,STA3045F,STA3045F,Stochastic Processes and Distribution,36,7,core,,,,,False,20
2025,COM,CU020BUS01,1,0,3,STA3047S,STA3047S,Introduction to Machine Learning,6,7,core,,,,,False,20
2025,COM,CU020BUS01,1,0,4,STA3048S,STA3048S,Statistical Modelling,30,7,core,,,,,False,20
2025,COM,CU020BUS01,1,0,5,BUS3018F,BUS3018F,Actuarial Science II: Models,18,7,core,,,,,False,20
2025,COM,CU020BUS01,1,0,6,BUS3024S,BUS3024S,Actuarial Science II: Contingencies,18,7,core,,,,,False,20
2025,COM,CU020BUS01,1,0,7,ECO1010F/S,ECO1010F,Microeconomics 1010,18,5,option,ADVDIP-EL,1,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,8,ECO1011F/S,ECO1011F,Macroeconomics 1011,18,5,option,ADVDIP-EL,2,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,9,ACC1006F,ACC1006F,Financial Accounting,18,5,option,ADVDIP-EL,3,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,10,ACC1011S,ACC1011S,Financial Reporting I,18,5,option,ADVDIP-EL,4,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,11,BUS2016H,BUS2016H,Actuarial Science: Financial Mathematics,18,6,option,ADVDIP-EL,5,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,12,FTX2024S,FTX2024S,Financial Management or an approved elective,18,6,option,ADVDIP-EL,6,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,13,STA2004F,STA2004F,Statistical Theory and Inference,24,6,option,ADVDIP-EL,7,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,14,STA2005S,STA2005S,Linear Models,24,6,option,ADVDIP-EL,8,2,choose two of the listed electives,False,20
2025,COM,CU020BUS01,1,0,15,MAM3000W,MAM3000W,Mathematics 3000*,72,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,16,FTX3044F,FTX3044F,Investment Management A,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,17,FTX3045S,FTX3045S,Investment Management B,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,18,ECO3009F,ECO3009F,Natural Resource Economics,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,19,ECO3016F,ECO3016F,History of Economic Thought,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,20,ECO3020F,ECO3020F,Advanced Macro & Micro Economics,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,21,ECO3021S,ECO3021S,Quantitative Methods in Economics,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,22,ECO3022S,ECO3022S,Advanced Labour Economics,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,23,ECO3023S,ECO3023S,Public Sector Economics,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,24,ECO3024F,ECO3024F,International Trade and Finance,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU020BUS01,1,0,25,ECO3025S,ECO3025S,Applied International Trade Bargaining,18,7,alternative,,,,approved elective pool,False,21
2025,COM,CU017ACC01,1,0,1,ACC3004W,ACC3004W,Taxation II,32,7,core,,,,,False,23
2025,COM,CU017ACC01,1,0,2,ACC3009W,ACC3009W,Financial Reporting III,36,7,core,,,,,False,23
2025,COM,CU017ACC01,1,0,3,ACC3022W,ACC3022W,"Governance, Audit and Assurance II",26,7,core,,,,,False,23
2025,COM,CU017ACC01,1,0,4,ACC3023W,ACC3023W,Management Accounting II,26,7,core,,,,,False,23
2025,COM,CU017ACC01,1,0,5,ACC3001F,ACC3001F,Business Analysis and Governance I,13,7,core,,,,,False,23
